scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Souls-like,7,9,-2,16,"Mask of Soul, Siege of Acres, 热血屠龙"
all-games,raw-tag,Third Person,12,3,9,15,"Alder Forge 2, Fright Train, Race Jam"
all-games,raw-tag,Shooter,7,8,-1,15,"Fright Train, Hyperlane Highway, Lens Of Fear"
all-games,raw-tag,Cozy,13,1,12,14,"Settle, Kingdomino, Professional Cats"
all-games,raw-tag,Medieval,11,3,8,14,"Giant’s Heart, 星火燎原, 86'd"
all-games,raw-tag,Bullet Hell,10,4,6,14,"Apple Man Sam, Demon Hunters, Hyperlane Highway"
all-games,raw-tag,PvP,10,4,6,14,"Adrift: In the Corners of Time, 戚继光 Qi Jiguang: Art of War, 郑成功传 Clash of Armadas: Koxinga"
all-games,raw-tag,Building,5,9,-4,14,"Extreme Forklifting 3, Hello World, Mothership Down"
all-games,raw-tag,Demons,5,9,-4,14,"Foul Deeds of Iblis, Fright Train, Lens Of Fear"
all-games,raw-tag,Drama,5,9,-4,14,"The Secret Story 1996, The Secret Story Night Shift, 成为皇帝！我的万亿美女星球帝国"
all-games,raw-tag,First-Person,5,9,-4,14,"The Secret Story Night Shift, Snooker Billiard, IT Solutions"
all-games,raw-tag,Surreal,9,5,4,14,"Evil Egg, Super Chaos, SWAPMEAT"
all-games,raw-tag,Cinematic,8,6,2,14,"Hope in the City, Red: Flame & Fable, The Secret Story 1996"
all-games,raw-tag,Loot,8,6,2,14,"Hyperlane Highway, Dungeonfall, Valefor 2"
all-games,raw-tag,Mystery,8,6,2,14,"Fright Train, Qamar, Chaosfall"
all-games,raw-tag,Procedural Generation,8,6,2,14,"PatchWorld, Beat For Speed, SWAPMEAT"
all-games,raw-tag,Turn-Based Strategy,8,6,2,14,"Hello World, Second Chance at a Billion, Bullet Ouroboros"
all-games,raw-tag,Cyberpunk,9,4,5,13,"SWAPMEAT, Aeons Echo, Ark Re:Code"
all-games,raw-tag,Dark Fantasy,4,9,-5,13,"Dicebinder, Law of Demons, Valefor 2"
all-games,raw-tag,Emotional,9,4,5,13,"The Assessment, Umamusume: Pretty Derby, Dogwood"
all-games,raw-tag,1990's,5,8,-3,13,"Space Elite Force II, Dungeonfall, Coin Pusher Casino"
all-games,raw-tag,3D Platformer,8,5,3,13,"Lens Of Fear, StarSavior, The Secret Story Night Shift"
all-games,raw-tag,Base Building,8,5,3,13,"Hello World, Siege of Acres, Habitat Toxica"
all-games,raw-tag,Fast-Paced,8,5,3,13,"Aimlabs, DEADLINE DELIVERY, Super Chaos"
all-games,raw-tag,Hand-drawn,5,8,-3,13,"Back To The Collis, Dark Age Dinos, Mask of Soul"
all-games,raw-tag,Platformer,8,5,3,13,"A Webbing Journey, Mask of Soul, Goose vs Zombies"
all-games,raw-tag,Violent,5,8,-3,13,"Birthday Boy, DEATH STRANDING 2: ON THE BEACH, Law of Demons"
all-games,raw-tag,Female Protagonist,7,6,1,13,"INDOORS, Bullet Ouroboros, Phantom Breaker: Omnia"
all-games,raw-tag,Nudity,6,7,-1,13,"AIKO: AI Girlfriend 3D Life Sim, Pixel Worlds: MMO Sandbox, 被击垮而堕落的强气人妻"
all-games,raw-tag,Hack and Slash,8,4,4,12,"Dungeonfall, Law of Demons, Kleopatra"
all-games,raw-tag,Immersive Sim,4,8,-4,12,"Extreme Forklifting 3, The Secret Story 1996, The Secret Story Night Shift"
all-games,raw-tag,Cartoon,5,7,-2,12,"The Secret Story Night Shift, Blenderman, Clicker Clicker Treasure Picker"
all-games,raw-tag,Isometric,7,5,2,12,"Machine Mind, Settle, Thug Life"
all-games,raw-tag,Level Editor,6,6,0,12,"The Secret Story 1996, 戚继光 Qi Jiguang: Art of War, Aimlabs"
all-games,raw-tag,Score Attack,6,6,0,12,"DopeNet, Coin Pusher Casino, Crepuscule Alley"
all-games,raw-tag,Clicker,9,2,7,11,"Defend Your Land, Newton Coin Web3, PomoTrain: Rabbit Town"
all-games,raw-tag,Space,2,9,-7,11,"成为皇帝！我的万亿美女星球帝国, Deep Rock Galactic: Rogue Core, Desserted"
all-games,raw-tag,Life Sim,4,7,-3,11,"Extreme Forklifting 3, The Secret Story Night Shift, Land Of Opportunities"
all-games,raw-tag,Old School,7,4,3,11,"Back To The Collis, Mothership Down, Coin Pusher Casino"
all-games,raw-tag,Dungeon Crawler,5,6,-1,11,"Siege of Acres, 帝王霸业, Dicebinder"
all-games,raw-tag,Survival Horror,5,6,-1,11,"The Assessment, The Secret Story Night Shift, Souls of the Dead"
all-games,raw-tag,Quick-Time Events,2,8,-6,10,"The Beast Inside, Beat For Speed, Bubblizion"
all-games,raw-tag,Romance,7,3,4,10,"The Secret Story Night Shift, Crown of the Nile: Cleopatra's Choice, Moonlight Apothecary"
all-games,raw-tag,Abstract,4,6,-2,10,"Kaz, DopePie Survivors 3D, EONIA Revelations"
all-games,raw-tag,Text-Based,4,6,-2,10,"MMM Weird Adventure, Perfect Castle, Under Protocol"
all-games,raw-tag,Walking Simulator,4,6,-2,10,"The Secret Story 1996, Trauma playground, We need a doorman."
all-games,raw-tag,Zombies,6,4,2,10,"Lens Of Fear, Demon Hunters, Souls of the Dead"
all-games,raw-tag,Economy,5,5,0,10,"Drag Racing 3D: Streets 2, Land Of Opportunities, Raccoon Valley Tycoon"
all-games,raw-tag,FPS,5,5,0,10,"Hyperlane Highway, The Secret Story Night Shift, 成为皇帝！我的万亿美女星球帝国"
all-games,raw-tag,NSFW,8,1,7,9,"Nakara, 被击垮而堕落的强气人妻, Curse upon the Defeated Sow Knight!"
all-games,raw-tag,Party Game,8,1,7,9,"Bullet Ouroboros, Ball Pain, Cursed Carts"
all-games,raw-tag,Great Soundtrack,7,2,5,9,"Kleopatra, 成为皇帝！我的万亿美女星球帝国, Umamusume: Pretty Derby"
all-games,raw-tag,Narration,7,2,5,9,"Race Jam, SIONIC LOVE, Hotel Galactic"
all-games,raw-tag,Short,7,2,5,9,"ワンコワンコ大作戦, Night Shift, The Legend of Chalkvania"
all-games,raw-tag,Investigation,6,3,3,9,"The Assessment, The Secret Story Night Shift, Drop Not Allowed"
all-games,raw-tag,Lore-Rich,6,3,3,9,"成为皇帝！我的万亿美女星球帝国, Crown of the Nile: Cleopatra's Choice, EONIA Revelations"
all-games,raw-tag,Perma Death,6,3,3,9,"Blenderman, Dungeonfall, Trash of the Titans"
all-games,raw-tag,Supernatural,6,3,3,9,"Fright Train, Night At The Mall, SANITY"
all-games,raw-tag,Choose Your Own Adventure,4,5,-1,9,"PatchWorld, Fool's Court, Moonlight Apothecary"
all-games,raw-tag,Co-op Campaign,4,5,-1,9,"Dark Age Dinos, Hello World, Souls of the Dead"
all-games,raw-tag,Collectathon,4,5,-1,9,"The Secret Story Night Shift, Tiny Train Tycoon, The King's Magic"
all-games,raw-tag,Dark Humor,5,4,1,9,"Under Protocol, Souls of the Dead, The King's Magic"
all-games,raw-tag,Precision Platformer,4,5,-1,9,"Reng Azure Requiem, ワンコワンコ大作戦, Don't Fall"
all-games,raw-tag,Stealth,5,4,1,9,"Darwin's Paradox!, Loot Goblin, Madnessarum"
all-games,raw-tag,Replay Value,7,1,6,8,"DopeNet, Valefor 2, Chaosfall"
all-games,raw-tag,2D Platformer,2,6,-4,8,"Hakimi Blaster - Hakimi Survivors, Mask of Soul, StarSavior"
all-games,raw-tag,Racing,2,6,-4,8,"DETOUR, Hyperlane Highway, Ball Pain"
all-games,raw-tag,Conversation,5,3,2,8,"Fate's Masquerade: Otome Visual Novel, Law of Demons, Highrise: Avatar & Social World"
all-games,raw-tag,War,5,3,2,8,"ALTERA, 戚继光 Qi Jiguang: Art of War, Virtualord, The Virtual Conqueror"
all-games,raw-tag,Grid-Based Movement,4,4,0,8,"Kingdomino, Axona, Gentoo Rescue"
all-games,raw-tag,Local Co-Op,4,4,0,8,"Hello World, Space Elite Force II, 戚继光 Qi Jiguang: Art of War"
all-games,raw-tag,Shoot 'Em Up,4,4,0,8,"Hyperlane Highway, Piroot, Super Chaos"
all-games,raw-tag,Side Scroller,4,4,0,8,"Mask of Soul, Drag Racing 3D: Streets 2, Celestial Lumina"
all-games,raw-tag,Thriller,4,4,0,8,"Mermaids are Seafood, A House Inside Me, Flick"
all-games,raw-tag,Dystopian,1,6,-5,7,"DopeNet, Ark Re:Code, Angel Roulette"
all-games,raw-tag,Idler,6,1,5,7,"Second Chance at a Billion, 热血屠龙, Coin Pusher Casino"
all-games,raw-tag,Otome,1,6,-5,7,"Crown of the Nile: Cleopatra's Choice, Cute Country, Gun Girl Go"
all-games,raw-tag,Hidden Object,2,5,-3,7,"Hope in the City, Settle, Shroud of Gloom"
all-games,raw-tag,Turn-Based Combat,5,2,3,7,"Dark Age Dinos, Hello World, Cardtonia"
all-games,raw-tag,Visual Novel,5,2,3,7,"MYMEMORY, 成为皇帝！我的万亿美女星球帝国, Mistbound"
all-games,raw-tag,Anime,4,3,1,7,"Super Serious Golf, BioMech Vendetta, DopePie Survivors 3D"
all-games,raw-tag,Cooking,4,3,1,7,"Plucked Up, VirtualSociety, Moonlight Apothecary"
all-games,raw-tag,Education,3,4,-1,7,"Aimlabs, One in a Thousand: Clover Book, Responding"
