dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,City Builder,city builder,Other,2,2,0,4,0.0000,0.0000,0.0000,"Capitaland, MonsterCare, Goldrot"
tag,raw-tag,Class-Based,class-based,Other,1,2,-1,3,0.0000,-0.2500,-0.2500,"Demon Hunters, Granblue Fantasy, Drag Racing 3D: Streets 2"
tag,raw-tag,Classic,classic,Other,2,1,1,3,0.0000,0.0000,0.0000,"Mystery at Morgoth, The Curse of Feldar Vale, Shakes and Fidget"
tag,raw-tag,Clicker,clicker,Other,9,2,7,11,0.0000,1.0000,1.0000,"Defend Your Land, Newton Coin Web3, PomoTrain: Rabbit Town"
tag,raw-tag,Co-op,co-op,Play Modes & Social,18,14,4,32,0.0000,-0.5000,-0.5000,"Code Velocity, Frutiger Home, KILLGUN"
tag,raw-tag,Co-op Campaign,co-op campaign,Other,4,5,-1,9,0.0000,-0.2500,-0.2500,"Dark Age Dinos, Hello World, Souls of the Dead"
tag,raw-tag,Coding,coding,Other,1,0,1,1,0.0000,0.0000,0.0000,Pixel Forge
tag,raw-tag,Cold War,cold war,Other,0,1,-1,1,0.0000,0.0000,0.0000,Garfield Kart 2 - All You Can Drift
tag,raw-tag,Collectathon,collectathon,Other,4,5,-1,9,-0.2500,-0.2500,0.0000,"The Secret Story Night Shift, Tiny Train Tycoon, The King's Magic"
tag,raw-tag,Colony Sim,colony sim,Other,3,1,2,4,0.0000,-0.2500,-0.2500,"Crown of Greed, GlagStone, All Roads Connected"
tag,raw-tag,Colorful,colorful,Indie & Casual,23,23,0,46,-0.7500,-0.7500,0.0000,"Hyperlane Highway, Impact to the Head, Mothership Down"
tag,raw-tag,Combat,combat,Action & Combat,17,14,3,31,0.0000,-0.7500,-0.7500,"Hello World, Hyperlane Highway, Mask of Soul"
tag,raw-tag,Combat Racing,combat racing,Other,2,1,1,3,0.0000,0.0000,0.0000,"Garfield Kart 2 - All You Can Drift, MechaCap Arena, One more time"
tag,raw-tag,Comedy,comedy,Indie & Casual,10,18,-8,28,-0.2500,-1.5000,-1.2500,"Hakimi Blaster - Hakimi Survivors, Race Jam, DEADLINE DELIVERY"
tag,raw-tag,Comic Book,comic book,Other,1,2,-1,3,0.0000,-0.2500,-0.2500,"Race Jam, Kleopatra, The Angel's Devil Tail - One More Question 2"
tag,raw-tag,Competitive,competitive,Other,4,1,3,5,0.2500,0.5000,0.2500,"Drag Racing 3D: Streets 2, Out of the Park Baseball 27, Penguin Pirates"
tag,raw-tag,Conspiracy,conspiracy,Other,1,1,0,2,0.2500,0.0000,-0.2500,"EONIA Revelations, [ABERRATION] THE ANALYST"
tag,raw-tag,Controller,controller,Other,10,13,-3,23,-0.2500,-0.2500,0.0000,"Lens Of Fear, Piroot, 86'd"
tag,raw-tag,Conversation,conversation,Other,5,3,2,8,-0.2500,0.5000,0.7500,"Fate's Masquerade: Otome Visual Novel, Law of Demons, Highrise: Avatar & Social World"
tag,raw-tag,Cooking,cooking,Other,4,3,1,7,0.0000,0.0000,0.0000,"Plucked Up, VirtualSociety, Moonlight Apothecary"
tag,raw-tag,Cozy,cozy,Indie & Casual,13,1,12,14,0.2500,1.7500,1.5000,"Settle, Kingdomino, Professional Cats"
tag,raw-tag,Crafting,crafting,Other,8,10,-2,18,-0.5000,0.5000,1.0000,"Hello World, 帝王霸业, Habitat Toxica"
tag,raw-tag,Creature Collector,creature collector,Other,5,1,4,6,0.2500,0.0000,-0.2500,"Chippu, TCG Card Shop Simulator, The Wide Open Sky is Running out of Catfish"
tag,raw-tag,Crime,crime,Other,4,0,4,4,0.0000,0.2500,0.2500,"DopeNet, Speakeasy Simulator, Beyond The Limits"
tag,raw-tag,CRPG,crpg,Other,0,2,-2,2,0.0000,0.0000,0.0000,"Nevergrind, Terrinoth®: Heroes of Descent"
tag,raw-tag,Cult Classic,cult classic,Other,0,1,-1,1,0.0000,0.0000,0.0000,Shakes and Fidget
tag,raw-tag,Cute,cute,Indie & Casual,15,13,2,28,0.2500,1.0000,0.7500,"Back To The Collis, Dark Age Dinos, Settle"
tag,raw-tag,Cyberpunk,cyberpunk,Other,9,4,5,13,0.2500,0.7500,0.5000,"SWAPMEAT, Aeons Echo, Ark Re:Code"
tag,raw-tag,Cycling,cycling,Other,0,1,-1,1,0.0000,-0.2500,-0.2500,Beat For Speed
tag,raw-tag,Dark,dark,Atmosphere & Horror,16,13,3,29,-0.5000,0.0000,0.5000,"Lens Of Fear, Siege of Acres, Smoking Gun"
tag,raw-tag,Dark Comedy,dark comedy,Other,2,1,1,3,0.0000,0.0000,0.0000,"Fine Dying, Mousebusters, Regret To Inform"
tag,raw-tag,Dark Fantasy,dark fantasy,Other,4,9,-5,13,-0.2500,-0.5000,-0.2500,"Dicebinder, Law of Demons, Valefor 2"
tag,raw-tag,Dark Humor,dark humor,Other,5,4,1,9,0.0000,-0.2500,-0.2500,"Under Protocol, Souls of the Dead, The King's Magic"
tag,raw-tag,Dating Sim,dating sim,Other,4,2,2,6,-0.2500,0.2500,0.5000,"Machine Child, I Opened an Idle Bar So I Can GOON to HOT GIRLS, Lust's Cupid"
tag,raw-tag,Deckbuilding,deckbuilding,Other,5,1,4,6,0.0000,0.7500,0.7500,"Valefor 2, Bones and Coins, STAB!"
tag,raw-tag,Demons,demons,Other,5,9,-4,14,0.0000,-0.2500,-0.2500,"Foul Deeds of Iblis, Fright Train, Lens Of Fear"
tag,raw-tag,Design & Illustration,design & illustration,Other,1,1,0,2,0.0000,0.2500,0.2500,"Frutiger Home, Moving Day: Make It Home"
tag,raw-tag,Destruction,destruction,Other,1,3,-2,4,0.0000,-0.5000,-0.5000,"Extreme Forklifting 3, Plucked Up, Super Chaos"
tag,raw-tag,Detective,detective,Other,1,0,1,1,0.0000,0.0000,0.0000,We need a doorman.
tag,raw-tag,Difficult,difficult,Action & Combat,20,6,14,26,0.0000,1.5000,1.5000,"Project Roll, Siege of Acres, Aimlabs"
tag,raw-tag,Dinosaurs,dinosaurs,Other,0,1,-1,1,0.0000,-0.2500,-0.2500,BioMech Vendetta
tag,raw-tag,Diplomacy,diplomacy,Other,1,1,0,2,0.0000,0.0000,0.0000,"Microlandia, Under Protocol"
tag,raw-tag,Dog,dog,Other,0,1,-1,1,0.0000,-0.2500,-0.2500,Habitat Toxica
tag,raw-tag,Dragons,dragons,Other,3,1,2,4,-0.2500,0.0000,0.2500,"Tears of Adria, Undead Tide: Light's Defense, 热血屠龙"
tag,raw-tag,Drama,drama,Other,5,9,-4,14,-0.5000,0.5000,1.0000,"The Secret Story 1996, The Secret Story Night Shift, 成为皇帝！我的万亿美女星球帝国"
tag,raw-tag,Driving,driving,Other,4,0,4,4,0.0000,0.5000,0.5000,"Without A Hitch, Drag Racing 3D: Streets 2, Responding"
tag,raw-tag,Dungeon Crawler,dungeon crawler,Other,5,6,-1,11,0.0000,0.0000,0.0000,"Siege of Acres, 帝王霸业, Dicebinder"
tag,raw-tag,Dwarf,dwarf,Other,1,0,1,1,0.2500,0.0000,-0.2500,Goldrot
tag,raw-tag,Dynamic Narration,dynamic narration,Other,0,1,-1,1,0.0000,0.0000,0.0000,One Way Mirror: AI
tag,raw-tag,Dystopian,dystopian,Other,1,6,-5,7,0.0000,-0.7500,-0.7500,"DopeNet, Ark Re:Code, Angel Roulette"
tag,raw-tag,Early Access,early access,Lifecycle & Business Model,37,35,2,72,-0.5000,0.7500,1.2500,"MY HERO : Before the Conquest, Night Light, 鱼肠剑与绣春刀 "
tag,raw-tag,Economy,economy,Other,5,5,0,10,0.0000,0.2500,0.2500,"Drag Racing 3D: Streets 2, Land Of Opportunities, Raccoon Valley Tycoon"
tag,raw-tag,Education,education,Other,3,4,-1,7,-0.2500,0.5000,0.7500,"Aimlabs, One in a Thousand: Clover Book, Responding"
tag,raw-tag,Electronic Music,electronic music,Other,1,1,0,2,0.2500,0.0000,-0.2500,"HYPERBEAT, Night Club Simulator: Party King"
tag,raw-tag,Elf,elf,Other,0,1,-1,1,0.0000,0.0000,0.0000,Undead Tide: Light's Defense
tag,raw-tag,Emotional,emotional,Other,9,4,5,13,0.2500,0.7500,0.5000,"The Assessment, Umamusume: Pretty Derby, Dogwood"
tag,raw-tag,Epic,epic,Other,1,0,1,1,0.0000,0.2500,0.2500,成为皇帝！我的万亿美女星球帝国
tag,raw-tag,Episodic,episodic,Other,1,0,1,1,0.0000,0.0000,0.0000,Unseen - Someone
tag,raw-tag,eSports,esports,Other,0,2,-2,2,0.0000,-0.5000,-0.5000,"Snooker Billiard, Youth Academy"
tag,raw-tag,Experience,experience,Other,1,0,1,1,0.0000,0.0000,0.0000,Gridworld
tag,raw-tag,Experimental,experimental,Other,3,0,3,3,0.2500,0.2500,0.0000,"Chaosfall, Biocybernetic Trap, Ringbound"
tag,raw-tag,Exploration,exploration,Adventure & Story,17,13,4,30,-0.2500,1.2500,1.5000,"Greed Hunters, Isle of Food, IT Solutions"
tag,raw-tag,Extraction Shooter,extraction shooter,Other,1,0,1,1,0.0000,0.2500,0.2500,Madnessarum
tag,raw-tag,Faith,faith,Other,1,0,1,1,0.0000,0.2500,0.2500,Foul Deeds of Iblis
tag,raw-tag,Family Friendly,family friendly,Indie & Casual,14,10,4,24,0.2500,0.7500,0.5000,"ARC_the beginning, Space Elite Force II, Space Smash"
tag,raw-tag,Fantasy,fantasy,RPG & Fantasy,11,18,-7,29,0.0000,-0.5000,-0.5000,"成为皇帝！我的万亿美女星球帝国, Kingdomino, Loot Goblin"
tag,raw-tag,Farming,farming,Other,1,1,0,2,0.0000,0.0000,0.0000,"Rune Factory 5, My Heaven's Dale"
tag,raw-tag,Farming Sim,farming sim,Other,1,1,0,2,0.0000,0.2500,0.2500,"Hello World, Hotel Galactic"
tag,raw-tag,Fast-Paced,fast-paced,Other,8,5,3,13,0.5000,0.0000,-0.5000,"Aimlabs, DEADLINE DELIVERY, Super Chaos"
tag,raw-tag,Female Protagonist,female protagonist,Other,7,6,1,13,0.2500,0.2500,0.0000,"INDOORS, Bullet Ouroboros, Phantom Breaker: Omnia"
tag,raw-tag,Fighting,fighting,Other,1,0,1,1,0.2500,0.0000,-0.2500,Ninja Vs Bomb
tag,raw-tag,First-Person,first-person,Other,5,9,-4,14,0.0000,-0.5000,-0.5000,"The Secret Story Night Shift, Snooker Billiard, IT Solutions"
tag,raw-tag,Fishing,fishing,Other,2,1,1,3,0.0000,0.2500,0.2500,"Isle of Food, Dogwood, My Heaven's Dale"
tag,raw-tag,Flight,flight,Other,0,2,-2,2,0.0000,0.0000,0.0000,"The Wide Open Sky is Running out of Catfish, Beyond The Limits"
tag,raw-tag,Foreign,foreign,Other,0,1,-1,1,0.0000,-0.2500,-0.2500,Cardtonia
tag,raw-tag,FPS,fps,Other,5,5,0,10,0.2500,0.0000,-0.2500,"Hyperlane Highway, The Secret Story Night Shift, 成为皇帝！我的万亿美女星球帝国"
tag,raw-tag,Free to Play,free to play,Lifecycle & Business Model,31,6,25,37,0.2500,4.0000,3.7500,"Mahjong Fest: Sakura Garden, コインスロット, 帝王霸业"
tag,raw-tag,Funny,funny,Indie & Casual,18,14,4,32,1.2500,0.5000,-0.7500,"Dark Age Dinos, Hakimi Blaster - Hakimi Survivors, Isle of Food"
tag,raw-tag,Futuristic,futuristic,Other,9,8,1,17,0.2500,0.0000,-0.2500,"FULL METAL COFFIN, Hello World, Hyperlane Highway"
tag,raw-tag,Gambling,gambling,Other,1,19,-18,20,0.0000,-4.0000,-4.0000,"Dicesworn, Shells Shooter, Pegs X Stickers"
tag,raw-tag,Game Development,game development,Other,1,0,1,1,0.0000,0.2500,0.2500,PatchWorld
tag,raw-tag,God Game,god game,Other,1,2,-1,3,0.0000,0.0000,0.0000,"Gridworld, Weyrdlets 2.0 : Desktop Pets, 帝王霸业"
tag,raw-tag,Golf,golf,Other,1,0,1,1,0.0000,0.2500,0.2500,Super Serious Golf
tag,raw-tag,Gore,gore,Other,3,4,-1,7,0.2500,-0.2500,-0.5000,"Law of Demons, Yurei: Ink of the Damned, Azazel Gamble 阿撒兹勒赌局"
tag,raw-tag,Gothic,gothic,Other,2,1,1,3,0.0000,-0.2500,-0.2500,"Gladiatory, Fine Dying, The Dark Queen of Mortholme"
tag,raw-tag,Grand Strategy,grand strategy,Other,0,3,-3,3,0.0000,0.0000,0.0000,"College Basketball Manager, Songs of Silence, Grand Cru: The Wine Maker"
tag,raw-tag,Great Soundtrack,great soundtrack,Other,7,2,5,9,0.0000,0.7500,0.7500,"Kleopatra, 成为皇帝！我的万亿美女星球帝国, Umamusume: Pretty Derby"
tag,raw-tag,Grid-Based Movement,grid-based movement,Other,4,4,0,8,0.0000,-0.7500,-0.7500,"Kingdomino, Axona, Gentoo Rescue"
tag,raw-tag,Gun Customization,gun customization,Other,1,4,-3,5,-0.2500,-0.2500,0.0000,"Chop Chains, Responding, Sphere Fight"
tag,raw-tag,Hack and Slash,hack and slash,Other,8,4,4,12,0.2500,0.5000,0.2500,"Dungeonfall, Law of Demons, Kleopatra"
tag,raw-tag,Hacking,hacking,Other,1,1,0,2,0.0000,0.2500,0.2500,"Land Of Opportunities, Anti-Virus Squad"
tag,raw-tag,Hand-drawn,hand-drawn,Other,5,8,-3,13,-0.2500,-1.0000,-0.7500,"Back To The Collis, Dark Age Dinos, Mask of Soul"
tag,raw-tag,Heist,heist,Other,0,1,-1,1,-0.2500,0.0000,0.2500,Absorber: Absorb Adapt Survive
tag,raw-tag,Hentai,hentai,Other,11,5,6,16,0.5000,0.5000,0.0000,"Cry of Fear, Poker Night at the Inventory, SPLITGATE: Arena Reloaded"
tag,raw-tag,Hero Shooter,hero shooter,Other,1,0,1,1,0.0000,0.0000,0.0000,STAR TALE: Odyssey One
tag,raw-tag,Hex Grid,hex grid,Other,1,1,0,2,0.0000,-0.2500,-0.2500,"Valefor 2, Dotu"
tag,raw-tag,Hidden Object,hidden object,Other,2,5,-3,7,-0.2500,0.0000,0.2500,"Hope in the City, Settle, Shroud of Gloom"
tag,raw-tag,Historical,historical,Other,3,3,0,6,0.0000,-0.2500,-0.2500,"Caribbean Tide, Settle, 郑成功传 Clash of Armadas: Koxinga"
